molecule,cas,best_match_url,results,query_url,query_type,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
DULAGLUTIDE,923950-08-7,https://drugs.ncats.io/drug/WTT295HSY5,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""923950%2008%207"")",ONLY CAS,US Approved Rx 2014,BLA125469,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125469,US Approved Rx 2014,BLA125469,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125469,,
DULOXETINE,116539-59-4,https://drugs.ncats.io/drug/O5TNM5N07U,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""116539%2059%204"")",ONLY CAS,US Approved Rx 2018,ANDA211310,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211310,US Approved Rx 2004,NDA021733,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021733,Fibromyalgia; Major depressive disorder; Generalized anxiety disorder,Approved; Approved; Approved
DUPILUMAB,1190264-60-8,https://drugs.ncats.io/drug/420K487FSG,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1190264%2060%208"")",ONLY CAS,US Approved Rx 2017,BLA761055,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761055,US Approved Rx 2017,BLA761055,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761055,,
DURVALUMAB,1428935-60-7,https://drugs.ncats.io/drug/28X28X9OKV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1428935%2060%207"")",ONLY CAS,US Approved Rx 2017,BLA761069,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761069,US Approved Rx 2017,BLA761069,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761069,,
DUTASTERIDE,164656-23-9,https://drugs.ncats.io/drug/O0J6XJN02I,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""164656%2023%209"")",ONLY CAS,US Approved Rx 2015,ANDA203118,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203118,US Approved Rx 2001,NDA021319,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021319,Benign prostatic hyperplasia,Approved
DUVELISIB,1201438-56-3,https://drugs.ncats.io/drug/610V23S0JI,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1201438%2056%203"")",ONLY CAS,US Approved Rx 2018,NDA211155,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211155,US Approved Rx 2018,NDA211155,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211155,Relapsed or refractory follicular lymphoma; Relapsed or refractory chronic lymphocytic leukemia/small lymphocytic lymphoma,Approved; Approved
DYCLONINE,586-60-7,https://drugs.ncats.io/drug/078A24Q30O,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""586%2060%207"")",ONLY CAS,US Approved OTC ,21 CFR 346.10(e) anorectal:local anesthetic dyclonine hydrochloride,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec346-10.xml,US Previously Marketed 1955,DYCLONE by ASTRAZENECA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009925,Friedreich ataxia; Cancer; Sore throat; Pain,Not Provided; Basic research; Approved; Approved
ECALLANTIDE,460738-38-9,https://drugs.ncats.io/drug/5Q6TZN2HNM,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""460738%2038%209"")",ONLY CAS,US Approved Rx 2009,BLA125277,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125277,US Approved Rx 2009,BLA125277,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125277,hereditary angioedema,Approved
ECHINACEA ANGUSTIFOLIA,84696-11-7,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""84696%2011%207"")",ONLY CAS,,,,,,,,
ECHINACEA PURPUREA,90028-20-9,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""90028%2020%209"")",ONLY CAS,,,,,,,,
ECONAZOLE,27220-47-9,https://drugs.ncats.io/drug/6Z1Y2V4A7M,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""27220%2047%209"")",ONLY CAS,US Approved Rx 2013,NDA205175,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205175,US Previously Marketed 1982,SPECTAZOLE by ALVOGEN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018751,Tinea pedis,Approved
ECOTHIOPATE,6736-03-4,https://drugs.ncats.io/drug/0F350BVT6S,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""6736%2003%204"")",ONLY CAS,US Approved Rx 1960,NDA011963,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011963,Possibly Marketed Outside US 1959,NDA011963,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e4bb53c7-9061-43fc-878f-dc1b19801bfc,Accommodative esotropia; Open-angle glaucoma,Approved; Approved
ECULIZUMAB,219685-50-4,https://drugs.ncats.io/drug/A3ULP0F556,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""219685%2050%204"")",ONLY CAS,US Approved Rx 2007,BLA125166,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125166,US Approved Rx 2007,BLA125166,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125166,,
EDARAVONE,"89-25-8
19735-89-8",N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""89%2025%208
19735%2089%208"")",ONLY CAS,,,,,,,,
EDETIC ACID,60-00-4,https://drugs.ncats.io/drug/9G34HU7RV0,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""60%2000%204"")",ONLY CAS,US Approved Rx 2023,ANDA216435,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216435,US Previously Marketed 1953,CALCIUM DISODIUM VERSENATE by BAUSCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008922,Heavy metal poisoning; Hypercalcemia; Ventricular arrhythmias associated with digitalis toxicity; Lead encephalopathy; Lead poisoning,Approved; Not Provided; Not Provided; Approved; Approved
EDOXABAN,480449-70-5,https://drugs.ncats.io/drug/NDU3J18APO,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""480449%2070%205"")",ONLY CAS,US Approved Rx 2015,NDA206316,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206316,US Approved Rx 2015,NDA206316,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206316,Nonvalvular atrial fibrillation; Pulmonary embolism; Deep vein thrombosis,Approved; Approved; Approved
EDROPHONIUM,312-48-1,https://drugs.ncats.io/drug/70FP3JLY7N,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""312%2048%201"")",ONLY CAS,US Previously Marketed 1985,ENLON by MYLAN INSTITUTIONAL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088873,US Previously Marketed 1951,TENSILON by PAI HOLDINGS PHARM,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=007959,Neuromuscular blockade; Myasthenia gravis,Approved; Approved
EFALIZUMAB,214745-43-4,https://drugs.ncats.io/drug/XX2MN88N5D,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""214745%2043%204"")",ONLY CAS,US Previously Marketed 2003,Raptiva,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125075,US Previously Marketed 2003,Raptiva,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125075,,
EFAVIRENZ,154598-52-4,https://drugs.ncats.io/drug/JE6H2O27P8,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""154598%2052%204"")",ONLY CAS,US Approved Rx 2018,NDA208255,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208255,US Previously Marketed 1998,SUSTIVA by BRISTOL MYERS SQUIBB,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020972,HIV-1 infection,Approved
EFINACONAZOLE,164650-44-6,https://drugs.ncats.io/drug/J82SB7FXWB,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""164650%2044%206"")",ONLY CAS,US Approved Rx 2021,ANDA211969,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211969,US Approved Rx 2014,NDA203567,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203567,Onychomycosis,Approved
EFLORNITHINE,70052-12-9,https://drugs.ncats.io/drug/ZQN1G5V6SR,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""70052%2012%209"")",ONLY CAS,US Approved Rx 2023,NDA215500,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215500,US Previously Marketed 1990,ORNIDYL by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019879,Facial hirsutism,Approved
EFMOROCTOCOG ALFA,1270012-79-7,https://drugs.ncats.io/drug/7PCM518YLR,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1270012%2079%207"")",ONLY CAS,Possibly Marketed Outside US ,Eloctate by Bioverativ Canada Inc [Canada],https://www.drugbank.ca/drugs/DB11607,Possibly Marketed Outside US 2014,BLA125487,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bec39fa0-1524-4e6b-897f-db0ef093085e,,
EFTRENONACOG ALFA,1270012-74-2,https://drugs.ncats.io/drug/02E00T2QDE,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1270012%2074%202"")",ONLY CAS,Possibly Marketed Outside US ,Alprolix by Bioverativ Canada Inc [Canada],https://www.drugbank.ca/drugs/DB11608,Possibly Marketed Outside US 2014,BLA125444,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2fb3fb92-379d-4683-80d6-b06c0a7dc063,,
ELAGOLIX,834153-87-6,https://drugs.ncats.io/drug/5B2546MB5Z,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""834153%2087%206"")",ONLY CAS,US Approved Rx 2020,NDA213388,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213388,US Approved Rx 2018,NDA210450,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210450,Pain associated with endometriosis; Uterine Fibroids,Approved; Phase III
ELAPEGADEMASE,1709806-75-6,https://drugs.ncats.io/drug/9R3D3Y0UHS,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1709806%2075%206"")",ONLY CAS,US Approved Rx 2018,BLA761092,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761092,US Approved Rx 2018,BLA761092,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761092,,
ELASTIN,9007-58-3,https://drugs.ncats.io/drug/VRC4754D50,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9007%2058%203"")",ONLY CAS,Possibly Marketed Outside US 2016,"Shampoo for dyed and damaged hair with collagen, lanolin, biotin and arginine Horse Force by Zeldis-farma, Ooo",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=331c14e9-3b2e-1f4a-e054-00144ff88e88,Possibly Marketed Outside US 2016,"Shampoo for dyed and damaged hair with collagen, lanolin, biotin and arginine Horse Force by Zeldis-farma, Ooo",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=331c14e9-3b2e-1f4a-e054-00144ff88e88,,
ELBASVIR,1370468-36-2,https://drugs.ncats.io/drug/632L571YDK,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1370468%2036%202"")",ONLY CAS,US Approved Rx 2016,NDA208261,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208261,US Approved Rx 2016,NDA208261,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208261,Chronic hepatitis C,Approved
ELECTROLYTE SOLUTIONS,7664-93-9,https://drugs.ncats.io/drug/O40UQP6WCF,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""7664%2093%209"")",ONLY CAS,US Approved Rx 2023,ANDA215469,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215469,US Previously Marketed 1921,Potassium Sulphate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Bowel Cleanser,Approved
ELETRIPTAN,143322-58-1,https://drugs.ncats.io/drug/22QOO9B8KI,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""143322%2058%201"")",ONLY CAS,US Approved Rx 2002,NDA021016,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021016,US Approved Rx 2002,NDA021016,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021016,Migraine,Approved
ELETTARIA CARDAMOMUM,977005-95-0,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""977005%2095%200"")",ONLY CAS,,,,,,,,
ELIGLUSTAT,491833-29-5,https://drugs.ncats.io/drug/DR40J4WA67,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""491833%2029%205"")",ONLY CAS,US Approved Rx 2023,ANDA212420,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212420,US Approved Rx 2014,NDA205494,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205494,Gaucher's disease type I,Approved
ELOSULFASE ALFA,9025-60-9,https://drugs.ncats.io/drug/ODJ69JZG85,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9025%2060%209"")",ONLY CAS,US Approved Rx 2014,BLA125460,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125460,US Approved Rx 2014,BLA125460,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125460,,
ELOTUZUMAB,915296-00-3,https://drugs.ncats.io/drug/1351PE5UGS,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""915296%2000%203"")",ONLY CAS,US Approved Rx 2015,BLA761035,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761035,US Approved Rx 2015,BLA761035,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761035,,
ELTROMBOPAG,496775-61-2,https://drugs.ncats.io/drug/S56D65XJ9G,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""496775%2061%202"")",ONLY CAS,US Approved Rx 2008,NDA022291,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022291,US Approved Rx 2008,NDA022291,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022291,Immune thrombocytopenia; Severe aplastic anemia,Approved; Approved
ELUXADOLINE,864821-90-9,https://drugs.ncats.io/drug/45TPJ4MBQ1,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""864821%2090%209"")",ONLY CAS,US Approved Rx 2021,ANDA213613,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213613,US Approved Rx 2015,NDA206940,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206940,Irritable bowel syndrome with diarrhea,Approved
ELVITEGRAVIR,697761-98-1,https://drugs.ncats.io/drug/4GDQ854U53,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""697761%2098%201"")",ONLY CAS,US Approved Rx 2015,NDA207561,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207561,US Approved Rx 2012,NDA203100,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203100,HIV-1 infection,Approved
EMAPALUMAB,1709815-23-5,https://drugs.ncats.io/drug/3S252O2Z4X,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1709815%2023%205"")",ONLY CAS,US Approved Rx 2018,BLA761107,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761107,US Approved Rx 2018,BLA761107,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761107,,
EMEDASTINE,87233-61-2,https://drugs.ncats.io/drug/9J1H7Y9OJV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""87233%2061%202"")",ONLY CAS,US Previously Marketed 1997,EMADINE by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020706,US Previously Marketed 1997,EMADINE by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020706,Allergic conjunctivitis,Approved
EMICIZUMAB,1610943-06-0,https://drugs.ncats.io/drug/7NL2E3F6K3,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1610943%2006%200"")",ONLY CAS,US Approved Rx 2017,BLA761083,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761083,US Approved Rx 2017,BLA761083,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761083,,
EMOLLIENT,56-81-5,https://drugs.ncats.io/drug/PDC6A3C0OX,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""56%2081%205"")",ONLY CAS,US Approved OTC ,21 CFR 347.10(h) skin protectant glycerin,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec347-10.xml,US Previously Marketed 1921,Glycerin U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Dry skin or hair,Approved
EMPAGLIFLOZIN,864070-44-0,https://drugs.ncats.io/drug/HDC1R2M35U,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""864070%2044%200"")",ONLY CAS,US Approved Rx 2020,NDA212614,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212614,US Approved Rx 2014,NDA204629,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204629,Type 2 diabetes mellitus,Approved
EMTRICITABINE,143491-57-0,https://drugs.ncats.io/drug/G70B4ETF4S,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""143491%2057%200"")",ONLY CAS,US Approved Rx 2023,ANDA079188,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079188,US Approved Rx 2003,NDA021500,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021500,HIV-1 infection,Approved
ENALAPRIL,75847-73-3,https://drugs.ncats.io/drug/69PN84IO1A,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""75847%2073%203"")",ONLY CAS,US Approved Rx 2001,ANDA075727,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075727,US Approved Rx 1985,NDA018998,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018998,Hypertension; Asymptomatic left ventricular dysfunction; Heart failure,Approved; Approved; Approved
ENALAPRILAT,76420-72-9,https://drugs.ncats.io/drug/Q508Q118JM,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""76420%2072%209"")",ONLY CAS,US Approved Rx 2001,ANDA075727,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075727,US Approved Rx 1985,NDA018998,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018998,Hypertension; Asymptomatic left ventricular dysfunction; Heart failure,Approved; Approved; Approved
ENASIDENIB,1446502-11-9,https://drugs.ncats.io/drug/3T1SS4E7AG,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1446502%2011%209"")",ONLY CAS,US Approved Rx 2017,NDA209606,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209606,US Approved Rx 2017,NDA209606,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209606,Acute myeloid leukemia; acute myeloid leukemia,Phase III; Approved
ENCORAFENIB,1269440-17-6,https://drugs.ncats.io/drug/8L7891MRB6,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1269440%2017%206"")",ONLY CAS,US Approved Rx 2018,NDA210496,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210496,US Approved Rx 2018,NDA210496,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210496,Melanoma; Metastatic colorectal cancer; Relapsed or refractory multiple myeloma,Approved; Phase III; Phase II
ENFLURANE,13838-16-9,https://drugs.ncats.io/drug/91I69L5AY5,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""13838%2016%209"")",ONLY CAS,US Previously Marketed 1987,ENFLURANE by ABBOTT,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070803,US Previously Marketed 1972,ETHRANE by BAXTER HLTHCARE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017087,Pain,Approved
ENFUVIRTIDE,159519-65-0,https://drugs.ncats.io/drug/19OWO1T3ZE,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""159519%2065%200"")",ONLY CAS,US Approved Rx 2003,NDA021481,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021481,US Approved Rx 2003,NDA021481,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021481,HIV-1 infection,Approved
ENOXACIN,74011-58-8,https://drugs.ncats.io/drug/325OGW249P,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""74011%2058%208"")",ONLY CAS,US Previously Marketed 1991,PENETREX by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019616,US Previously Marketed 1991,PENETREX by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019616,"Uncomplicated urethral or cervical gonorrhea due to Neisseria gonorrhoeae.; Complicated urinary tract infections; Uncomplicated urinary tract infections (cystitis) due to Escherichia coli, Staphylococcus epidermidis, or Staphylococcus saprophyticus",Approved; Approved; Approved
ENOXAPARIN SODIUM,679809-58-6,https://drugs.ncats.io/drug/8NZ41MIK1O,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""679809%2058%206"")",ONLY CAS,US Approved Rx 2014,ANDA076726,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076726,US Approved Rx 1993,NDA020164,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020164,Deep vein thrombosis; Myocardial infarction; Unstable angina,Approved; Approved; Approved
ENOXOLONE,471-53-4,https://drugs.ncats.io/drug/P540XA09DR,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""471%2053%204"")",ONLY CAS,US Previously Marketed 1921,Ammoniated Glycyrrhizin U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Ammoniated Glycyrrhizin U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Hepatitis B; Autoimmune hepatitis; Chronic hepatitis C; Chronic hepatitis C; Erythema; Cardiomyopathy; Autoimmune hepatitis; Ovarian cancer; Radiodermatitis; Leukemia; Unknown; Unknown; Inflammation,Not Provided; Phase I; Not Provided; Approved; Phase I; Preclinical; Phase I; Basic research; Basic research; Basic research; Basic research
ENROFLOXACIN,93106-60-6,https://drugs.ncats.io/drug/3DX3XEK1BN,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""93106%2060%206"")",ONLY CAS,Possibly Marketed Outside US ,Canada:ENROFLOXACIN,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 1988,NADA140441,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e6228e80-a92a-4c24-8a0b-10bd0aff53db,Bacterial infections,Approved
ENTACAPONE,130929-57-6,https://drugs.ncats.io/drug/4975G9NM6T,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""130929%2057%206"")",ONLY CAS,US Approved Rx 2017,ANDA207210,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207210,US Approved Rx 1999,NDA020796,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020796,Parkinson's disease,Approved
ENTECAVIR,142217-69-4,https://drugs.ncats.io/drug/NNU2O4609D,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""142217%2069%204"")",ONLY CAS,US Approved Rx 2018,ANDA208721,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208721,US Approved Rx 2005,NDA021798,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021798,Hepatitis B,Approved
ENZALUTAMIDE,915087-33-1,https://drugs.ncats.io/drug/93T0T9GKNU,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""915087%2033%201"")",ONLY CAS,US Approved Rx 2020,NDA213674,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213674,US Approved Rx 2012,NDA203415,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203415,Castrate-resistant prostate cancer,Approved
EPHEDRINE,299-42-3,https://drugs.ncats.io/drug/GN83C131XS,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""299%2042%203"")",ONLY CAS,US Approved OTC ,21 CFR 341.20(b)(3) cough/cold:nasal decongestant ephedrine hydrochloride,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-20.xml,US Previously Marketed 1928,Ephetonine by Merck,https://www.google.com/books/edition/American_Journal_of_Pharmacy/NEAfAQAAIAAJ?hl=en&gbpv=1&bsq=ephetonine&dq=ephetonine&printsec=frontcover,Anesthesia-induced hypotension,Approved
EPIGALLOCATECHIN GALLATE,989-51-5,https://drugs.ncats.io/drug/BQM438CTEL,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""989%2051%205"")",ONLY CAS,Possibly Marketed Outside US 2023,21 CFR 341,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=00f8f724-87bc-e3f5-e063-6394a90a2eed,Possibly Marketed Outside US 2012,BabySpaShea Butter Diaper by EXPRO3 LLC,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=15c9f3c4-833a-4211-a0d0-31e754e7fb9f,Multiple sclerosis; Multiple system atrophy; Duchenne muscular dystrophy,Phase III; Phase III; Phase III
