Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
BLOOD COAGULATION TEST,BLOOD COAGULATION TEST,https://pubchem.ncbi.nlm.nih.gov/bioassay/1796645,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
BLOOD PLASMA,BLOOD PLASMA,https://pubchem.ncbi.nlm.nih.gov/compound/Human%20plasma,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
BOCEPREVIR,BOCEPREVIR,https://pubchem.ncbi.nlm.nih.gov/compound/10324367,FEATURED,394730-60-0,No CAS info,COMPOUND,YES,YES,YES
BORAGO OFFICINALIS,BORAGO OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/482039606,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
BORIC ACID,BORIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/7628,FEATURED,"10043-35-3
11113-50-1, 10043-35-3, 11113-50-1, 13813-79-1","11113-50-1, 12795-04-9, 2253722-08-4, 30698-98-7, 12795-04-9, 2253722-08-4, 30698-98-7, 12795-04-9, 30698-98-7",COMPOUND,YES,YES,YES
BORON,BORON,https://pubchem.ncbi.nlm.nih.gov/source/23697,FEATURED,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
BORTEZOMIB,BORTEZOMIB,https://pubchem.ncbi.nlm.nih.gov/compound/387447,FEATURED,179324-69-7,"197730-97-5, 1610526-91-4",COMPOUND,YES,YES,YES
BOSENTAN,BOSENTAN,https://pubchem.ncbi.nlm.nih.gov/compound/104865,FEATURED,147536-97-8,174227-18-0,COMPOUND,YES,YES,YES
BOSUTINIB,BOSUTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/5328940,FEATURED,380843-75-4,No CAS info,COMPOUND,YES,YES,YES
BOSWELLIA SERRATIA,BOSWELLIA SERRATIA,https://pubmed.ncbi.nlm.nih.gov/31363397,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
BRAN,BRAN,https://pubchem.ncbi.nlm.nih.gov/source/25622,FEATURED,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
BRASSICA CAMPESTRIS,BRASSICA CAMPESTRIS,https://pubchem.ncbi.nlm.nih.gov/compound/Brassica%20rapa%20Pollen,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
BRASSICA NAPUS,BRASSICA NAPUS,https://pubchem.ncbi.nlm.nih.gov/compound/100917761,RELEVANT,173740-48-2,No CAS info,COMPOUND,NO,NO,NO
BRASSICA NIGRA,BRASSICA NIGRA,https://pubchem.ncbi.nlm.nih.gov/substance/482039098,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
BREATH FRESHNERS,BREATH FRESHNERS,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
BRENTUXIMAB VEDOTIN,BRENTUXIMAB VEDOTIN,https://pubchem.ncbi.nlm.nih.gov/compound/Brentuximab%20Vedotin,FEATURED,914088-09-8,No CAS info,COMPOUND,MISSING,YES,YES
BRETYLIUM,BRETYLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2431,FEATURED,59-41-6,No CAS info,COMPOUND,YES,YES,YES
BREXPIPRAZOLE,BREXPIPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/11978813,FEATURED,913611-97-9,No CAS info,COMPOUND,MISSING,YES,YES
BRIGATINIB,BRIGATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/68165256,FEATURED,1197953-54-0,"1350848-43-9, 1574359-10-6",COMPOUND,YES,YES,YES
BRILLIANT GREEN,BRILLIANT GREEN,https://pubchem.ncbi.nlm.nih.gov/compound/12449,FEATURED,633-03-4,"1051370-53-6, 56730-57-5, 70165-37-6, 820975-89-1, 98712-72-2",COMPOUND,YES,YES,YES
BRIMONIDINE,BRIMONIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/2435,FEATURED,59803-98-4,No CAS info,COMPOUND,YES,YES,YES
BRINZOLAMIDE,BRINZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/68844,FEATURED,138890-62-7,No CAS info,COMPOUND,YES,YES,YES
BRIVARACETAM,BRIVARACETAM,https://pubchem.ncbi.nlm.nih.gov/compound/9837243,FEATURED,357336-20-0,No CAS info,COMPOUND,YES,YES,YES
BRODALUMAB,BRODALUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Brodalumab,FEATURED,1174395-19-7,No CAS info,COMPOUND,MISSING,YES,YES
BROMAZINE,BROMAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/2444,FEATURED,"118-23-0, 1808-12-4",No CAS info,COMPOUND,YES,YES,YES
BROMELAINS,BROMELAINS,https://pubchem.ncbi.nlm.nih.gov/substance/447277102,RELEVANT,No CAS info,No CAS info,SUBSTANCE,YES,YES,YES
BROMFENAC,BROMFENAC,https://pubchem.ncbi.nlm.nih.gov/compound/60726,FEATURED,"91714-94-2, 120638-55-3",No CAS info,COMPOUND,YES,YES,YES
BROMINE,BROMINE,https://pubchem.ncbi.nlm.nih.gov/compound/24408,FEATURED,7726-95-6,23724-81-4,COMPOUND,YES,YES,YES
BROMOCRIPTINE,BROMOCRIPTINE,https://pubchem.ncbi.nlm.nih.gov/compound/31101,FEATURED,"25614-03-3, 22260-51-1",No CAS info,COMPOUND,YES,YES,YES
BROMPHENIRAMINE,BROMPHENIRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/6834,FEATURED,86-22-6,"156428-33-0, 32188-07-1, 32188-07-1",COMPOUND,YES,YES,YES
BRONOPOL,BRONOPOL,https://pubchem.ncbi.nlm.nih.gov/compound/2450,FEATURED,52-51-7,"1135443-73-0, 133248-96-1, 179733-60-9, 133248-96-1, 179733-60-9",COMPOUND,YES,YES,YES
BRYONIA ALBA,BRYONIA ALBA,https://pubchem.ncbi.nlm.nih.gov/substance/483927802,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
BUDESONIDE,BUDESONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5281004,RELEVANT,"51333-22-3, 51372-29-3",No CAS info,COMPOUND,YES,YES,YES
BUMETANIDE,BUMETANIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2471,FEATURED,28395-03-1,No CAS info,COMPOUND,YES,YES,YES
BUPIVACAINE,BUPIVACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/2474,FEATURED,"38396-39-3, 2180-92-9, 1217442-06-2",2180-92-9,COMPOUND,YES,YES,YES
BUPRENORPHINE,BUPRENORPHINE,https://pubchem.ncbi.nlm.nih.gov/compound/644073,FEATURED,52485-79-7,No CAS info,COMPOUND,YES,YES,YES
BUPROPION,BUPROPION,https://pubchem.ncbi.nlm.nih.gov/compound/444,FEATURED,"34911-55-2, 144445-76-1, 144445-75-0, 34841-39-9",34841-39-9,COMPOUND,YES,YES,YES
BUROSUMAB,BUROSUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Burosumab,FEATURED,1610833-03-8,No CAS info,COMPOUND,MISSING,YES,YES
BUSPIRONE,BUSPIRONE,https://pubchem.ncbi.nlm.nih.gov/compound/2477,FEATURED,36505-84-7,No CAS info,COMPOUND,YES,YES,YES
BUSULFAN,BUSULFAN,https://pubchem.ncbi.nlm.nih.gov/compound/2478,FEATURED,"55-98-1, 729-99-7, 55-93-6, 29166-53-8",No CAS info,COMPOUND,YES,YES,YES
BUTALAMINE,BUTALAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/30949,FEATURED,22131-35-7,No CAS info,COMPOUND,YES,YES,YES
BUTALBITAL,BUTALBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2481,FEATURED,77-26-9,No CAS info,COMPOUND,YES,YES,YES
BUTENAFINE,BUTENAFINE,https://pubchem.ncbi.nlm.nih.gov/compound/2484,FEATURED,101828-21-1,No CAS info,COMPOUND,YES,YES,YES
BUTOCONAZOLE,BUTOCONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/47472,FEATURED,"64872-76-0, 64872-77-1","67085-13-6, 85496-23-7, 85496-23-7",COMPOUND,YES,YES,YES
BUTORPHANOL,BUTORPHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/5361092,FEATURED,"42408-82-2, 58786-99-5",No CAS info,COMPOUND,YES,YES,YES
BUTYLATED HYDROXYANISOLE,BUTYLATED HYDROXYANISOLE,https://pubchem.ncbi.nlm.nih.gov/compound/8456,RELEVANT,"25013-16-5, 121-00-6, 921-00-6","1341-82-8, 1336-31-8, 37349-77-2, 56587-66-7, 57534-28-8, 8003-24-5, 8041-81-4, 9009-68-1",COMPOUND,NO,NO,NO
BUTYLCAINE,BUTYLCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/2482,FEATURED,94-25-7,No CAS info,COMPOUND,YES,YES,YES
BUTYLHYDROXYTOLUOL,BUTYLHYDROXYTOLUOL,https://pubmed.ncbi.nlm.nih.gov/3125696,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
BUTYLPARABEN,BUTYLPARABEN,https://pubchem.ncbi.nlm.nih.gov/compound/7184,FEATURED,94-26-8,"1350551-41-5, 8068-49-3",COMPOUND,YES,YES,YES
BUTYROSPERMUM PARKII,BUTYROSPERMUM PARKII,https://pubchem.ncbi.nlm.nih.gov/compound/Vitellaria%20paradoxa%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
C1 INHIBITOR (HUMAN),C1 INHIBITOR (HUMAN),https://pubchem.ncbi.nlm.nih.gov/compound/Human%20C1-Esterase%20Inhibitor,FEATURED,"80295-38-1, 1018837-94-9",81295-50-3,COMPOUND,MISSING,YES,YES
CABAZITAXEL,CABAZITAXEL,https://pubchem.ncbi.nlm.nih.gov/compound/9854073,FEATURED,183133-96-2,890654-44-1,COMPOUND,YES,YES,YES
CABERGOLINE,CABERGOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/54746,FEATURED,81409-90-7,No CAS info,COMPOUND,YES,YES,YES
CABOZANTINIB,CABOZANTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/25102847,FEATURED,849217-68-1,No CAS info,COMPOUND,YES,YES,YES
CACAO BUTTER,CACAO BUTTER,https://pubchem.ncbi.nlm.nih.gov/substance/481180537,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CADEXOMER IODINE,CADEXOMER IODINE,https://pubchem.ncbi.nlm.nih.gov/substance/135298353,RELEVANT,94820-09-4,No CAS info,SUBSTANCE,YES,YES,YES
CADE OIL,CADE OIL,https://pubchem.ncbi.nlm.nih.gov/compound/Juniper%20Tar,FEATURED,8013-10-3,No CAS info,COMPOUND,MISSING,YES,YES
CAFFEINE,CAFFEINE,https://pubchem.ncbi.nlm.nih.gov/compound/2519,FEATURED,"58-08-2, 99827-19-7, 95789-13-2","71701-02-5, 95789-13-2, 159446-73-8",COMPOUND,YES,YES,YES
CAJUPUT,CAJUPUT,https://pubchem.ncbi.nlm.nih.gov/substance/483934535,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CALAMINE,CALAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/23083748,FEATURED,"8011-96-9, 12063-19-3","1005291-42-8, 116094-82-7, 1225184-29-1, 1314527-00-8, 1331731-79-3, 1353745-31-9, 1363177-45-0, 1415015-81-4, 1419872-41-5, 1435443-98-3, 1555944-40-5, 1639052-09-7, 164250-66-2, 1662679-23-3, 1884263-09-5, 263842-41-7, 548491-80-1, 651053-04-2, 71615-25-3, 745830-57-3, 882315-44-8",COMPOUND,YES,YES,YES
CALASPARGASE PEGOL,CALASPARGASE PEGOL,https://pubchem.ncbi.nlm.nih.gov/substance/481101553,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CALCIFEDIOL,CALCIFEDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5283731,FEATURED,"19356-17-3, 64719-49-9, 63283-36-3","1384584-62-6, 25631-40-7, 1384584-62-6",COMPOUND,YES,YES,YES
CALCIPOTRIOL,CALCIPOTRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5288783,FEATURED,"112965-21-6, 112828-00-9",112828-00-9,COMPOUND,YES,YES,YES
CALCITONIN (SALMON),CALCITONIN (SALMON),https://pubchem.ncbi.nlm.nih.gov/compound/16220016,RELEVANT,"9007-12-9, 47931-85-1, 57014-02-5, 135506-95-5",No CAS info,COMPOUND,NO,NO,NO
CALCITRIOL,CALCITRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5280453,FEATURED,32222-06-3,"1000873-74-4, 125338-24-1, 69878-52-0, 1000873-74-4, 125338-24-1",COMPOUND,YES,YES,YES
CALCIUM,CALCIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5460341,FEATURED,7440-70-2,8047-59-4,COMPOUND,YES,YES,YES
CALCIUM FOLINATE,CALCIUM FOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135403647,FEATURED,"1492-18-8, 6035-45-6, 80433-71-2","1236362-90-5, 30771-29-0, 6035-86-5, 6209-45-6",COMPOUND,YES,YES,YES
CALCIUM LEVOFOLINATE,CALCIUM LEVOFOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135500522,FEATURED,80433-71-2,No CAS info,COMPOUND,YES,YES,YES
CALCIUM MEFOLINATE,CALCIUM MEFOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135742689,FEATURED,26560-38-3,No CAS info,COMPOUND,YES,YES,YES
CALENDULA OFFICINALIS,CALENDULA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924236,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CALFACTANT,CALFACTANT,https://pubchem.ncbi.nlm.nih.gov/compound/Calfactant,FEATURED,"183325-78-2, 151437-98-8",151437-98-8,COMPOUND,MISSING,YES,YES
CAMELLIA SINENSIS,CAMELLIA SINENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/168009904,RELEVANT,No CAS info,No CAS info,COMPOUND,NO,MISSING,NO
CAMPESTEROL,CAMPESTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/173183,FEATURED,474-62-4,No CAS info,COMPOUND,YES,YES,YES
CAMPHOR,CAMPHOR,https://pubchem.ncbi.nlm.nih.gov/compound/2537,FEATURED,"76-22-2, 464-48-2, 8008-51-3, 464-49-3, 21368-68-3","68546-28-1, 21368-68-3, 48113-22-0, 8013-55-6, 8022-77-3, 21368-68-3, 8013-55-6, 8022-77-3",COMPOUND,YES,YES,YES
CANAGLIFLOZIN,CANAGLIFLOZIN,https://pubchem.ncbi.nlm.nih.gov/compound/24812758,FEATURED,842133-18-0,No CAS info,COMPOUND,YES,YES,YES
CANAKINUMAB,CANAKINUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Canakinumab,FEATURED,"914613-48-2, 402710-25-2, 402710-27-4",No CAS info,COMPOUND,MISSING,YES,YES
CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,https://pubchem.ncbi.nlm.nih.gov/compound/2540,FEATURED,145040-37-5,No CAS info,COMPOUND,YES,YES,YES
CANDIDA ALBICANS,CANDIDA ALBICANS,https://pubchem.ncbi.nlm.nih.gov/compound/Candida%20Albicans,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
CANDIDA TESTS,CANDIDA TESTS,https://pubchem.ncbi.nlm.nih.gov/bioassay/368251,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
CANGRELOR,CANGRELOR,https://pubchem.ncbi.nlm.nih.gov/compound/9854012,FEATURED,163706-06-7,No CAS info,COMPOUND,YES,YES,YES
CANNABIDIOL,CANNABIDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/644019,FEATURED,"13956-29-1, 3556-78-3","35542-48-4, 18436-46-9, 20547-66-4, 521-37-9",COMPOUND,YES,YES,YES
CANTHARIDES,CANTHARIDES,https://pubchem.ncbi.nlm.nih.gov/compound/5944,RELEVANT,56-25-7,1351357-43-1,COMPOUND,NO,YES,YES
CANTHARIDIN,CANTHARIDIN,https://pubchem.ncbi.nlm.nih.gov/compound/5944,FEATURED,56-25-7,1351357-43-1,COMPOUND,YES,YES,YES
CAPECITABINE,CAPECITABINE,https://pubchem.ncbi.nlm.nih.gov/compound/60953,FEATURED,154361-50-9,"158798-73-3, 958887-39-3",COMPOUND,YES,YES,YES
CAPLACIZUMAB,CAPLACIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Caplacizumab,FEATURED,915810-67-2,No CAS info,COMPOUND,MISSING,YES,YES
CAPREOMYCIN,CAPREOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/3000502,FEATURED,11003-38-6,No CAS info,COMPOUND,YES,YES,YES
CAPROMAB,CAPROMAB,https://pubchem.ncbi.nlm.nih.gov/compound/135509147,RELEVANT,No CAS info,No CAS info,COMPOUND,NO,YES,YES
CAPSAICIN,CAPSAICIN,https://pubchem.ncbi.nlm.nih.gov/compound/1548943,FEATURED,404-86-4,912457-62-6,COMPOUND,YES,YES,YES
CAPSICUM,CAPSICUM,https://pubchem.ncbi.nlm.nih.gov/compound/Capsicum,FEATURED,"84625-29-6, 85940-30-3, 977007-72-9",No CAS info,COMPOUND,MISSING,YES,YES
CAPSICUM OLEORESIN,CAPSICUM OLEORESIN,https://pubchem.ncbi.nlm.nih.gov/compound/Capsicum%20Oleoresin,FEATURED,8023-77-6,No CAS info,COMPOUND,MISSING,YES,YES
CAPTOPRIL,CAPTOPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/44093,FEATURED,62571-86-2,"138452-88-7, 225661-74-5, 70903-77-4",COMPOUND,YES,YES,YES
CARALLUMA FIMBRIATA,CARALLUMA FIMBRIATA,https://pubchem.ncbi.nlm.nih.gov/substance/482038648,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CARAMIPHEN,CARAMIPHEN,https://pubchem.ncbi.nlm.nih.gov/compound/6472,FEATURED,77-22-5,No CAS info,COMPOUND,YES,YES,YES
CARAPA GUIANENSIS,CARAPA GUIANENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/Carapa%20guianensis%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
CARBACHOL,CARBACHOL,https://pubchem.ncbi.nlm.nih.gov/compound/5831,FEATURED,51-83-2,No CAS info,COMPOUND,YES,YES,YES
CARBAMAZEPINE,CARBAMAZEPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2554,FEATURED,298-46-4,No CAS info,COMPOUND,YES,YES,YES
CARBENICILLIN,CARBENICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/20824,FEATURED,4697-36-3,"13822-29-2, 24003-65-4, 38321-00-5, 69487-18-9, 802025-71-4",COMPOUND,YES,YES,YES
CARBIDOPA,CARBIDOPA,https://pubchem.ncbi.nlm.nih.gov/compound/34359,FEATURED,"28860-95-9, 38821-49-7","27925-91-3, 31823-41-3",COMPOUND,YES,YES,YES
CARBINOXAMINE,CARBINOXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2564,FEATURED,486-16-8,59811-38-0,COMPOUND,YES,YES,YES
CARBITOL,CARBITOL,https://pubchem.ncbi.nlm.nih.gov/compound/8146,FEATURED,111-90-0,No CAS info,COMPOUND,YES,YES,YES
CARBOCISTEINE,CARBOCISTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/193653,FEATURED,"638-23-3, 25390-17-4, 2387-59-9","11139-64-3, 2387-59-9",COMPOUND,YES,YES,YES
CARBOHYDRATES,CARBOHYDRATES,https://pubchem.ncbi.nlm.nih.gov/compound/5793,RELEVANT,"2280-44-6, 54-17-1, 492-62-6, 18991-62-3, 50-99-7, 604-68-2, 26655-34-5, 1227096-09-4","26655-34-5, 95671-82-2, 111688-73-4, 162222-91-5, 165659-51-8, 2095624-06-7, 50933-92-1, 8012-24-6, 80206-31-1, 8030-23-7, 111688-73-4, 162222-91-5, 165659-51-8, 2280-44-6, 8012-24-6, 80206-31-1, 8030-23-7",COMPOUND,NO,NO,NO
CARBOMER,CARBOMER,https://pubchem.ncbi.nlm.nih.gov/compound/6581,RELEVANT,"79-10-7, 59913-86-9, 57916-92-4, 192230-55-0, 25987-55-7, 9003-01-4, 1204391-75-2, 9063-87-0","1265528-53-7, 1453489-99-0, 1644624-02-1, 166941-59-9, 1703019-10-6, 1873349-31-5, 2015239-27-5, 211862-52-1, 2133361-51-8, 55927-87-2, 101360-15-0, 104625-85-6, 104922-39-6, 105913-47-1, 11132-69-7, 118168-84-6, 1243262-39-6, 125857-68-3, 125857-69-4, 131094-47-8, 1356242-46-0, 1422717-48-3, 1454600-56-6, 1465827-28-4, 1621008-43-2, 1621388-50-8, 1621388-51-9, 165724-08-3, 1663486-92-7, 168564-56-5, 169799-28-4, 170473-89-9, 174594-09-3, 1802847-92-2, 1854105-15-9, 2015227-48-0, 2055985-44-7, 2080340-46-9, 2169901-86-2, 223508-97-2, 2241078-05-5, 230287-43-1, 2650494-19-0, 2946725-66-0, 37241-23-9, 39341-22-5, 471251-42-0, 51142-25-7, 54578-44-8, 54990-82-8, 55492-72-3, 56747-65-0, 59233-19-1, 597551-81-0, 65742-16-7, 71767-27-6, 71767-28-7, 746620-96-2, 746620-98-4, 81031-52-9, 82446-45-5, 82446-46-6, 87913-02-8, 88650-89-9, 925683-30-3, 1265528-53-7, 1453489-99-0, 1644624-02-1, 166941-59-9, 1703019-10-6, 1873349-31-5, 2015239-27-5, 211862-52-1",COMPOUND,YES,YES,YES
CARBONIC ACID,CARBONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/767,FEATURED,"463-79-6, 22719-67-1, 71-52-3","1185770-84-6, 792143-57-8, 97328-76-2",COMPOUND,YES,YES,YES
CARBONYL IRON,CARBONYL IRON,https://pubchem.ncbi.nlm.nih.gov/compound/414976,FEATURED,No CAS info,No CAS info,COMPOUND,NO,NO,NO
CARBOPLATIN,CARBOPLATIN,https://pubchem.ncbi.nlm.nih.gov/compound/426756,FEATURED,No CAS info,No CAS info,COMPOUND,YES,YES,YES
CARBOPROST,CARBOPROST,https://pubchem.ncbi.nlm.nih.gov/compound/5281075,FEATURED,"35700-23-3, 59286-19-0",No CAS info,COMPOUND,YES,YES,YES
CARDIOSPERMUM,CARDIOSPERMUM,https://pubchem.ncbi.nlm.nih.gov/substance/483931051,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CARFILZOMIB,CARFILZOMIB,https://pubchem.ncbi.nlm.nih.gov/compound/11556711,FEATURED,868540-17-4,No CAS info,COMPOUND,YES,YES,YES
CARGLUMIC ACID,CARGLUMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/121396,FEATURED,1188-38-1,No CAS info,COMPOUND,YES,YES,YES
CARICA PAPAYA,CARICA PAPAYA,https://pubchem.ncbi.nlm.nih.gov/compound/5249653,RELEVANT,"108333-82-0, 9001-73-4","125054-90-2, 8050-04-2, 8057-83-8, 9002-59-9, 9086-65-1",COMPOUND,NO,NO,NO
CARINDACILLIN,CARINDACILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/93184,FEATURED,35531-88-5,No CAS info,COMPOUND,YES,YES,YES
CARIPRAZINE,CARIPRAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/Cariprazine,FEATURED,839712-12-8,955400-75-6,COMPOUND,MISSING,YES,YES
CARISOPRODOL,CARISOPRODOL,https://pubchem.ncbi.nlm.nih.gov/compound/2576,FEATURED,78-44-4,8053-63-2,COMPOUND,YES,YES,YES
CARMELLOSE,CARMELLOSE,https://pubchem.ncbi.nlm.nih.gov/compound/24748,FEATURED,9000-11-7,"1125619-15-9, 177317-30-5, 191616-54-3, 196886-89-2, 204336-41-4",COMPOUND,YES,YES,YES
CARMUSTINE,CARMUSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2578,FEATURED,154-93-8,"1159711-15-5, 1191292-23-5",COMPOUND,YES,YES,YES
CARNAUBA WAX,CARNAUBA WAX,https://pubchem.ncbi.nlm.nih.gov/compound/Carnauba%20Wax,FEATURED,8015-86-9,"174477-33-9, 2291949-29-4, 77700-48-2, 77700-48-2",COMPOUND,MISSING,YES,YES
CARNOSINE,CARNOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/439224,FEATURED,"305-84-0, 107667-60-7",7683-28-5,COMPOUND,YES,YES,YES
CAROTEN,CAROTEN,https://pubchem.ncbi.nlm.nih.gov/compound/449171,RELEVANT,5300-03-8,No CAS info,COMPOUND,NO,NO,NO
CAROTENOIDS (UNSPECIFIED),CAROTENOIDS (UNSPECIFIED),https://pubchem.ncbi.nlm.nih.gov/compound/445354,RELEVANT,"11103-57-4, 68-26-8","13123-33-6, 17104-91-5, 5979-23-7, 1341-18-0, 1406-67-3, 53637-36-8, 13123-33-6, 17104-91-5, 2820400-21-1, 5979-23-7, 13123-33-6, 5979-23-7",COMPOUND,NO,NO,NO
CARTEOLOL,CARTEOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/2583,FEATURED,51781-06-7,No CAS info,COMPOUND,YES,YES,YES
CARTHAMUS TINCTORIUS,CARTHAMUS TINCTORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/483935041,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CARUM PETROSELINUM,CARUM PETROSELINUM,https://pubchem.ncbi.nlm.nih.gov/substance/482025350,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CARVEDILOL,CARVEDILOL,https://pubchem.ncbi.nlm.nih.gov/compound/2585,FEATURED,72956-09-3,107741-96-8,COMPOUND,YES,YES,YES
CASANTHRANOL,CASANTHRANOL,https://pubchem.ncbi.nlm.nih.gov/compound/Casanthranol,FEATURED,"8024-48-4, 8015-89-2",No CAS info,COMPOUND,MISSING,YES,YES
CASEIN,CASEIN,https://pubchem.ncbi.nlm.nih.gov/compound/Casein,FEATURED,9000-71-9,"2649563-94-8, 37279-88-2, 9009-70-5, 9016-20-0, 9049-46-1, 9049-47-2, 9049-48-3, 9050-32-2, 9062-08-2, 9064-58-8, 9064-59-9, 9064-60-2, 9064-61-3, 37279-88-2, 9009-70-5, 9016-20-0, 9049-46-1, 9049-47-2, 9049-48-3, 9050-32-2, 9064-58-8, 9064-59-9, 9064-60-2, 9064-61-3",COMPOUND,MISSING,YES,YES
CASPOFUNGIN,CASPOFUNGIN,https://pubchem.ncbi.nlm.nih.gov/compound/16119814,FEATURED,162808-62-0,No CAS info,COMPOUND,YES,YES,YES
CASTOR FIBER,CASTOR FIBER,https://pubchem.ncbi.nlm.nih.gov/substance/482037988,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CATHETERS,CATHETERS,https://pubchem.ncbi.nlm.nih.gov/bioassay/546731,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
CATRIDECACOG,CATRIDECACOG,https://pubchem.ncbi.nlm.nih.gov/compound/Catridecacog,FEATURED,606138-08-3,No CAS info,COMPOUND,MISSING,YES,YES
CEDAR WOOD OIL,CEDAR WOOD OIL,https://pubchem.ncbi.nlm.nih.gov/substance/482028917,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CEDRUS ATLANTICA,CEDRUS ATLANTICA,https://pubchem.ncbi.nlm.nih.gov/compound/Cedrus%20atlantica%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
CEFACLOR,CEFACLOR,https://pubchem.ncbi.nlm.nih.gov/compound/51039,FEATURED,"53994-73-3, 70356-03-5",No CAS info,COMPOUND,YES,YES,YES
