Unnamed: 0,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?,,
344,BREATH_FRESHNERS,BREATH FRESHNERS,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
345,BRENTUXIMAB_VEDOTIN,BRENTUXIMAB VEDOTIN,https://pubchem.ncbi.nlm.nih.gov/compound/Brentuximab%20Vedotin,FEATURED,914088-09-8,No CAS info,COMPOUND,MISSING,YES,YES,,
346,BRETYLIUM,BRETYLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2431,FEATURED,59-41-6,No CAS info,COMPOUND,YES,YES,YES,,
347,BREXPIPRAZOLE,BREXPIPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/11978813,FEATURED,913611-97-9,No CAS info,COMPOUND,MISSING,YES,YES,,
348,BRIGATINIB,BRIGATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/68165256,FEATURED,1197953-54-0,"1350848-43-9, 1574359-10-6",COMPOUND,YES,YES,YES,,
349,BRILLIANT_GREEN,BRILLIANT GREEN,https://pubchem.ncbi.nlm.nih.gov/compound/12449,FEATURED,633-03-4,"1051370-53-6, 56730-57-5, 70165-37-6, 820975-89-1, 98712-72-2",COMPOUND,YES,YES,YES,,
350,BRIMONIDINE,BRIMONIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/2435,FEATURED,59803-98-4,No CAS info,COMPOUND,YES,YES,YES,,
351,BRINZOLAMIDE,BRINZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/68844,FEATURED,138890-62-7,No CAS info,COMPOUND,YES,YES,YES,,
352,BRIVARACETAM,BRIVARACETAM,https://pubchem.ncbi.nlm.nih.gov/compound/9837243,FEATURED,357336-20-0,No CAS info,COMPOUND,YES,YES,YES,,
353,BRODALUMAB,BRODALUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Brodalumab,FEATURED,1174395-19-7,No CAS info,COMPOUND,MISSING,YES,YES,,
354,BROMAZINE,BROMAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/2444,FEATURED,"118-23-0, 1808-12-4",No CAS info,COMPOUND,YES,YES,YES,,
355,BROMELAINS,BROMELAINS,https://pubchem.ncbi.nlm.nih.gov/substance/447277102,RELEVANT,No CAS info,No CAS info,SUBSTANCE,YES,YES,YES,,
356,BROMFENAC,BROMFENAC,https://pubchem.ncbi.nlm.nih.gov/compound/60726,FEATURED,"91714-94-2, 120638-55-3",No CAS info,COMPOUND,YES,YES,YES,,
357,BROMINE,BROMINE,https://pubchem.ncbi.nlm.nih.gov/compound/24408,FEATURED,7726-95-6,23724-81-4,COMPOUND,YES,YES,YES,,
358,BROMOCRIPTINE,BROMOCRIPTINE,https://pubchem.ncbi.nlm.nih.gov/compound/31101,FEATURED,"25614-03-3, 22260-51-1",No CAS info,COMPOUND,YES,YES,YES,,
359,BROMPHENIRAMINE,BROMPHENIRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/6834,FEATURED,86-22-6,"156428-33-0, 32188-07-1, 32188-07-1",COMPOUND,YES,YES,YES,,
360,BRONOPOL,BRONOPOL,https://pubchem.ncbi.nlm.nih.gov/compound/2450,FEATURED,52-51-7,"1135443-73-0, 133248-96-1, 179733-60-9, 133248-96-1, 179733-60-9",COMPOUND,YES,YES,YES,,
361,BRYONIA_ALBA,BRYONIA ALBA,https://pubchem.ncbi.nlm.nih.gov/substance/483927802,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
362,BUDESONIDE,BUDESONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5281004,FEATURED,"51333-22-3, 51372-29-3",No CAS info,COMPOUND,YES,YES,YES,,
363,BUMETANIDE,BUMETANIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2471,FEATURED,28395-03-1,No CAS info,COMPOUND,YES,YES,YES,,
364,BUPIVACAINE,BUPIVACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/2474,FEATURED,"38396-39-3, 2180-92-9, 1217442-06-2",2180-92-9,COMPOUND,YES,YES,YES,,
365,BUPRENORPHINE,BUPRENORPHINE,https://pubchem.ncbi.nlm.nih.gov/compound/644073,FEATURED,52485-79-7,No CAS info,COMPOUND,YES,YES,YES,,
366,BUPROPION,BUPROPION,https://pubchem.ncbi.nlm.nih.gov/compound/444,FEATURED,"34911-55-2, 144445-76-1, 144445-75-0, 34841-39-9",34841-39-9,COMPOUND,YES,YES,YES,,
367,BUROSUMAB,BUROSUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Burosumab,FEATURED,1610833-03-8,No CAS info,COMPOUND,MISSING,YES,YES,,
368,BUSPIRONE,BUSPIRONE,https://pubchem.ncbi.nlm.nih.gov/compound/2477,FEATURED,36505-84-7,No CAS info,COMPOUND,YES,YES,YES,,
369,BUSULFAN,BUSULFAN,https://pubchem.ncbi.nlm.nih.gov/compound/2478,FEATURED,55-98-1,No CAS info,COMPOUND,YES,YES,YES,,
370,BUTALAMINE,BUTALAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/30949,FEATURED,22131-35-7,No CAS info,COMPOUND,YES,YES,YES,,
371,BUTALBITAL,BUTALBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2481,FEATURED,77-26-9,No CAS info,COMPOUND,YES,YES,YES,,
372,BUTENAFINE,BUTENAFINE,https://pubchem.ncbi.nlm.nih.gov/compound/2484,FEATURED,101828-21-1,No CAS info,COMPOUND,YES,YES,YES,,
373,BUTOCONAZOLE,BUTOCONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/47472,FEATURED,"64872-76-0, 64872-77-1","67085-13-6, 85496-23-7, 85496-23-7",COMPOUND,YES,YES,YES,,
374,BUTORPHANOL,BUTORPHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/5361092,FEATURED,"42408-82-2, 58786-99-5",No CAS info,COMPOUND,YES,YES,YES,,
375,BUTYLATED_HYDROXYANISOLE,BUTYLATED HYDROXYANISOLE,https://pubchem.ncbi.nlm.nih.gov/compound/8456,RELEVANT,"25013-16-5, 121-00-6, 921-00-6","1341-82-8, 1336-31-8, 37349-77-2, 56587-66-7, 57534-28-8, 8003-24-5, 8041-81-4, 9009-68-1",COMPOUND,NO,NO,NO,,
376,BUTYLCAINE,BUTYLCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/2482,FEATURED,94-25-7,No CAS info,COMPOUND,YES,YES,YES,,
377,BUTYLHYDROXYTOLUOL,BUTYLHYDROXYTOLUOL,https://pubmed.ncbi.nlm.nih.gov/3125696,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
378,BUTYLPARABEN,BUTYLPARABEN,https://pubchem.ncbi.nlm.nih.gov/compound/7184,FEATURED,94-26-8,"1350551-41-5, 8068-49-3",COMPOUND,YES,YES,YES,,
379,BUTYROSPERMUM_PARKII,BUTYROSPERMUM PARKII,https://pubchem.ncbi.nlm.nih.gov/compound/Vitellaria%20paradoxa%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES,,
380,C1_INHIBITOR_(HUMAN),C1 INHIBITOR (HUMAN),https://pubchem.ncbi.nlm.nih.gov/compound/Human%20C1-Esterase%20Inhibitor,FEATURED,"80295-38-1, 1018837-94-9",81295-50-3,COMPOUND,MISSING,YES,YES,,
381,CABAZITAXEL,CABAZITAXEL,https://pubchem.ncbi.nlm.nih.gov/compound/9854073,FEATURED,183133-96-2,890654-44-1,COMPOUND,YES,YES,YES,,
382,CABERGOLINE,CABERGOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/54746,FEATURED,81409-90-7,No CAS info,COMPOUND,YES,YES,YES,,
383,CABOZANTINIB,CABOZANTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/25102847,FEATURED,849217-68-1,No CAS info,COMPOUND,YES,YES,YES,,
384,CACAO_BUTTER,CACAO BUTTER,https://pubchem.ncbi.nlm.nih.gov/substance/481180537,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
385,CADEXOMER_IODINE,CADEXOMER IODINE,https://pubchem.ncbi.nlm.nih.gov/substance/135298353,RELEVANT,94820-09-4,No CAS info,SUBSTANCE,YES,YES,YES,,
386,CADE_OIL,CADE OIL,https://pubchem.ncbi.nlm.nih.gov/compound/Juniper%20Tar,FEATURED,8013-10-03,No CAS info,COMPOUND,MISSING,YES,YES,,
387,CAFFEINE,CAFFEINE,https://pubchem.ncbi.nlm.nih.gov/compound/2519,FEATURED,"58-08-2, 95789-13-2","71701-02-5, 95789-13-2",COMPOUND,YES,YES,YES,,
388,CAJUPUT,CAJUPUT,https://pubchem.ncbi.nlm.nih.gov/substance/483934535,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
389,CALAMINE,CALAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/23083748,FEATURED,"8011-96-9, 12063-19-3","1005291-42-8, 116094-82-7, 1225184-29-1, 1314527-00-8, 1331731-79-3, 1353745-31-9, 1363177-45-0, 1415015-81-4, 1419872-41-5, 1435443-98-3, 1555944-40-5, 1639052-09-7, 164250-66-2, 1662679-23-3, 1884263-09-5, 263842-41-7, 548491-80-1, 651053-04-2, 71615-25-3, 745830-57-3, 882315-44-8",COMPOUND,YES,YES,YES,,
390,CALASPARGASE_PEGOL,CALASPARGASE PEGOL,https://pubchem.ncbi.nlm.nih.gov/substance/481101553,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
391,CALCIFEDIOL,CALCIFEDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5283731,FEATURED,"19356-17-3, 64719-49-9, 63283-36-3","1384584-62-6, 25631-40-7, 1384584-62-6",COMPOUND,YES,YES,YES,,
392,CALCIPOTRIOL,CALCIPOTRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5288783,FEATURED,"112965-21-6, 112828-00-9",112828-00-9,COMPOUND,YES,YES,YES,,
393,CALCITONIN_(SALMON),CALCITONIN (SALMON),https://pubchem.ncbi.nlm.nih.gov/compound/16220016,RELEVANT,"9007-12-9, 47931-85-1, 135506-95-5",No CAS info,COMPOUND,NO,NO,NO,,
394,CALCITRIOL,CALCITRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5280453,FEATURED,32222-06-3,"1000873-74-4, 125338-24-1, 69878-52-0, 1000873-74-4, 125338-24-1",COMPOUND,YES,YES,YES,,
395,CALCIUM,CALCIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5460341,FEATURED,7440-70-2,8047-59-4,COMPOUND,YES,YES,YES,,
396,CALCIUM_FOLINATE,CALCIUM FOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135403647,FEATURED,"1492-18-8, 6035-45-6, 80433-71-2","1236362-90-5, 30771-29-0, 6035-86-5, 6209-45-6",COMPOUND,YES,YES,YES,,
397,CALCIUM_LEVOFOLINATE,CALCIUM LEVOFOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135500522,FEATURED,"80433-71-2, 1492-18-8",No CAS info,COMPOUND,YES,YES,YES,,
398,CALCIUM_MEFOLINATE,CALCIUM MEFOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135742689,FEATURED,26560-38-3,No CAS info,COMPOUND,YES,YES,YES,,
399,CALENDULA_OFFICINALIS,CALENDULA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924236,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
400,CALFACTANT,CALFACTANT,https://pubchem.ncbi.nlm.nih.gov/compound/Calfactant,FEATURED,"183325-78-2, 151437-98-8",151437-98-8,COMPOUND,MISSING,YES,YES,,
401,CAMELLIA_SINENSIS,CAMELLIA SINENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/168009904,RELEVANT,No CAS info,No CAS info,COMPOUND,NO,MISSING,NO,,
402,CAMPESTEROL,CAMPESTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/173183,FEATURED,474-62-4,No CAS info,COMPOUND,YES,YES,YES,,
403,CAMPHOR,CAMPHOR,https://pubchem.ncbi.nlm.nih.gov/compound/2537,FEATURED,"76-22-2, 464-48-2, 8008-51-3, 464-49-3, 21368-68-3","21368-68-3, 48113-22-0, 8013-55-6, 8022-77-3, 21368-68-3, 8013-55-6, 8022-77-3",COMPOUND,YES,YES,YES,,
404,CANAGLIFLOZIN,CANAGLIFLOZIN,https://pubchem.ncbi.nlm.nih.gov/compound/24812758,FEATURED,842133-18-0,No CAS info,COMPOUND,YES,YES,YES,,
405,CANAKINUMAB,CANAKINUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Canakinumab,FEATURED,"914613-48-2, 402710-25-2, 402710-27-4",No CAS info,COMPOUND,MISSING,YES,YES,,
406,CANDESARTAN_CILEXETIL,CANDESARTAN CILEXETIL,https://pubchem.ncbi.nlm.nih.gov/compound/2540,FEATURED,145040-37-5,No CAS info,COMPOUND,YES,YES,YES,,
407,CANDIDA_ALBICANS,CANDIDA ALBICANS,https://pubchem.ncbi.nlm.nih.gov/compound/Candida%20Albicans,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES,,
408,CANDIDA_TESTS,CANDIDA TESTS,https://pubchem.ncbi.nlm.nih.gov/bioassay/368251,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
409,CANGRELOR,CANGRELOR,https://pubchem.ncbi.nlm.nih.gov/compound/9854012,FEATURED,163706-06-7,No CAS info,COMPOUND,YES,YES,YES,,
410,CANNABIDIOL,CANNABIDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/644019,FEATURED,"13956-29-1, 3556-78-3","35542-48-4, 18436-46-9, 20547-66-4, 521-37-9",COMPOUND,YES,YES,YES,,
411,CANTHARIDES,CANTHARIDES,https://pubchem.ncbi.nlm.nih.gov/compound/5944,RELEVANT,56-25-7,1351357-43-1,COMPOUND,NO,YES,YES,,
412,CANTHARIDIN,CANTHARIDIN,https://pubchem.ncbi.nlm.nih.gov/compound/5944,FEATURED,56-25-7,1351357-43-1,COMPOUND,YES,YES,YES,,
413,CAPECITABINE,CAPECITABINE,https://pubchem.ncbi.nlm.nih.gov/compound/60953,FEATURED,154361-50-9,"158798-73-3, 958887-39-3",COMPOUND,YES,YES,YES,,
414,CAPLACIZUMAB,CAPLACIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Caplacizumab,FEATURED,915810-67-2,No CAS info,COMPOUND,MISSING,YES,YES,,
415,CAPREOMYCIN,CAPREOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/3000502,FEATURED,11003-38-6,No CAS info,COMPOUND,YES,YES,YES,,
416,CAPROMAB,CAPROMAB,https://pubchem.ncbi.nlm.nih.gov/compound/135509147,RELEVANT,No CAS info,No CAS info,COMPOUND,NO,YES,YES,,
417,CAPSAICIN,CAPSAICIN,https://pubchem.ncbi.nlm.nih.gov/compound/1548943,FEATURED,404-86-4,912457-62-6,COMPOUND,YES,YES,YES,,
418,CAPSICUM,CAPSICUM,https://pubchem.ncbi.nlm.nih.gov/compound/Capsicum,FEATURED,"84625-29-6, 85940-30-3, 977007-72-9",No CAS info,COMPOUND,MISSING,YES,YES,,
419,CAPSICUM_OLEORESIN,CAPSICUM OLEORESIN,https://pubchem.ncbi.nlm.nih.gov/compound/Capsicum%20Oleoresin,FEATURED,8023-77-6,No CAS info,COMPOUND,MISSING,YES,YES,,
420,CAPTOPRIL,CAPTOPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/44093,FEATURED,62571-86-2,"138452-88-7, 225661-74-5, 70903-77-4",COMPOUND,YES,YES,YES,,
421,CARALLUMA_FIMBRIATA,CARALLUMA FIMBRIATA,https://pubchem.ncbi.nlm.nih.gov/substance/482038648,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
422,CARAMIPHEN,CARAMIPHEN,https://pubchem.ncbi.nlm.nih.gov/compound/6472,FEATURED,77-22-5,No CAS info,COMPOUND,YES,YES,YES,,
423,CARAPA_GUIANENSIS,CARAPA GUIANENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/Carapa%20guianensis%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES,,
424,CARBACHOL,CARBACHOL,https://pubchem.ncbi.nlm.nih.gov/compound/5831,FEATURED,51-83-2,No CAS info,COMPOUND,YES,YES,YES,,
425,CARBAMAZEPINE,CARBAMAZEPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2554,FEATURED,298-46-4,No CAS info,COMPOUND,YES,YES,YES,,
426,CARBENICILLIN,CARBENICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/20824,FEATURED,4697-36-3,"13822-29-2, 24003-65-4, 38321-00-5, 69487-18-9, 802025-71-4",COMPOUND,YES,YES,YES,,
427,CARBIDOPA,CARBIDOPA,https://pubchem.ncbi.nlm.nih.gov/compound/34359,FEATURED,"28860-95-9, 38821-49-7","27925-91-3, 31823-41-3",COMPOUND,YES,YES,YES,,
428,CARBINOXAMINE,CARBINOXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2564,FEATURED,486-16-8,59811-38-0,COMPOUND,YES,YES,YES,,
429,CARBITOL,CARBITOL,https://pubchem.ncbi.nlm.nih.gov/compound/8146,FEATURED,111-90-0,No CAS info,COMPOUND,YES,YES,YES,,
430,CARBOCISTEINE,CARBOCISTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/193653,FEATURED,638-23-3,11139-64-3,COMPOUND,YES,YES,YES,,
431,CARBOHYDRATES,CARBOHYDRATES,https://pubchem.ncbi.nlm.nih.gov/compound/5793,RELEVANT,"2280-44-6, 54-17-1, 50-99-7, 26655-34-5, 1227096-09-4","111688-73-4, 162222-91-5, 165659-51-8, 2095624-06-7, 50933-92-1, 8012-24-6, 80206-31-1, 8030-23-7",COMPOUND,NO,NO,NO,,
432,CARBOMER,CARBOMER,https://pubchem.ncbi.nlm.nih.gov/compound/6581,RELEVANT,"79-10-7, 59913-86-9, 57916-92-4, 192230-55-0, 25987-55-7, 9003-01-4, 1204391-75-2, 9063-87-0","1265528-53-7, 1453489-99-0, 1644624-02-1, 166941-59-9, 1703019-10-6, 1873349-31-5, 2015239-27-5, 211862-52-1, 2133361-51-8, 55927-87-2, 101360-15-0, 104625-85-6, 104922-39-6, 105913-47-1, 11132-69-7, 118168-84-6, 1243262-39-6, 125857-68-3, 125857-69-4, 131094-47-8, 1356242-46-0, 1422717-48-3, 1454600-56-6, 1465827-28-4, 1621008-43-2, 1621388-50-8, 1621388-51-9, 165724-08-3, 1663486-92-7, 168564-56-5, 169799-28-4, 170473-89-9, 174594-09-3, 1802847-92-2, 1854105-15-9, 2015227-48-0, 2055985-44-7, 2080340-46-9, 2169901-86-2, 223508-97-2, 2241078-05-5, 230287-43-1, 2650494-19-0, 2946725-66-0, 37241-23-9, 39341-22-5, 471251-42-0, 51142-25-7, 54578-44-8, 54990-82-8, 55492-72-3, 56747-65-0, 59233-19-1, 597551-81-0, 65742-16-7, 71767-27-6, 71767-28-7, 746620-96-2, 746620-98-4, 81031-52-9, 82446-45-5, 82446-46-6, 87913-02-8, 88650-89-9, 925683-30-3, 1265528-53-7, 1453489-99-0, 1644624-02-1, 166941-59-9, 1703019-10-6, 1873349-31-5, 2015239-27-5, 211862-52-1",COMPOUND,YES,YES,YES,,
433,CARBONIC_ACID,CARBONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/767,FEATURED,"463-79-6, 22719-67-1, 71-52-3","1185770-84-6, 792143-57-8, 97328-76-2",COMPOUND,YES,YES,YES,,
434,CARBONYL_IRON,CARBONYL IRON,https://pubchem.ncbi.nlm.nih.gov/compound/414976,FEATURED,No CAS info,No CAS info,COMPOUND,NO,NO,NO,,
435,CARBOPLATIN,CARBOPLATIN,https://pubchem.ncbi.nlm.nih.gov/compound/426756,FEATURED,No CAS info,No CAS info,COMPOUND,YES,YES,YES,,
436,CARBOPROST,CARBOPROST,https://pubchem.ncbi.nlm.nih.gov/compound/5281075,FEATURED,"35700-23-3, 59286-19-0",No CAS info,COMPOUND,YES,YES,YES,,
437,CARDIOSPERMUM,CARDIOSPERMUM,https://pubchem.ncbi.nlm.nih.gov/substance/483931051,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
438,CARFILZOMIB,CARFILZOMIB,https://pubchem.ncbi.nlm.nih.gov/compound/11556711,FEATURED,868540-17-4,No CAS info,COMPOUND,YES,YES,YES,,
439,CARGLUMIC_ACID,CARGLUMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/121396,FEATURED,1188-38-1,No CAS info,COMPOUND,YES,YES,YES,,
440,CARICA_PAPAYA,CARICA PAPAYA,https://pubchem.ncbi.nlm.nih.gov/compound/5249653,RELEVANT,"108333-82-0, 9001-73-4","125054-90-2, 8050-04-2, 8057-83-8, 9002-59-9, 9086-65-1",COMPOUND,NO,NO,NO,,
441,CARINDACILLIN,CARINDACILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/93184,FEATURED,35531-88-5,No CAS info,COMPOUND,YES,YES,YES,,
442,CARIPRAZINE,CARIPRAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/Cariprazine,FEATURED,839712-12-8,955400-75-6,COMPOUND,MISSING,YES,YES,,
443,CARISOPRODOL,CARISOPRODOL,https://pubchem.ncbi.nlm.nih.gov/compound/2576,FEATURED,78-44-4,8053-63-2,COMPOUND,YES,YES,YES,,
444,CARMELLOSE,CARMELLOSE,https://pubchem.ncbi.nlm.nih.gov/compound/24748,FEATURED,9000-11-07,"1125619-15-9, 177317-30-5, 191616-54-3, 196886-89-2, 204336-41-4",COMPOUND,YES,YES,YES,,
445,CARMUSTINE,CARMUSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2578,FEATURED,154-93-8,"1159711-15-5, 1191292-23-5",COMPOUND,YES,YES,YES,,
446,CARNAUBA_WAX,CARNAUBA WAX,https://pubchem.ncbi.nlm.nih.gov/compound/Carnauba%20Wax,FEATURED,8015-86-9,"174477-33-9, 2291949-29-4, 77700-48-2, 77700-48-2",COMPOUND,MISSING,YES,YES,,
447,CARNOSINE,CARNOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/439224,FEATURED,"305-84-0, 107667-60-7",7683-28-5,COMPOUND,YES,YES,YES,,
448,CAROTEN,CAROTEN,https://pubchem.ncbi.nlm.nih.gov/compound/449171,RELEVANT,5300-03-08,No CAS info,COMPOUND,NO,NO,NO,,
449,CAROTENOIDS_(UNSPECIFIED),CAROTENOIDS (UNSPECIFIED),https://pubchem.ncbi.nlm.nih.gov/compound/445354,RELEVANT,"11103-57-4, 68-26-8","13123-33-6, 17104-91-5, 5979-23-7, 1341-18-0, 1406-67-3, 53637-36-8, 13123-33-6, 17104-91-5, 2820400-21-1, 5979-23-7, 13123-33-6, 5979-23-7",COMPOUND,NO,NO,NO,,
450,CARTEOLOL,CARTEOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/2583,FEATURED,51781-06-7,No CAS info,COMPOUND,YES,YES,YES,,
451,CARTHAMUS_TINCTORIUS,CARTHAMUS TINCTORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/483935041,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
452,CARUM_PETROSELINUM,CARUM PETROSELINUM,https://pubchem.ncbi.nlm.nih.gov/substance/482025350,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
453,CARVEDILOL,CARVEDILOL,https://pubchem.ncbi.nlm.nih.gov/compound/2585,FEATURED,72956-09-3,107741-96-8,COMPOUND,YES,YES,YES,,
454,CASANTHRANOL,CASANTHRANOL,https://pubchem.ncbi.nlm.nih.gov/compound/Casanthranol,FEATURED,"8024-48-4, 8015-89-2",No CAS info,COMPOUND,MISSING,YES,YES,,
455,CASEIN,CASEIN,https://pubchem.ncbi.nlm.nih.gov/compound/Casein,FEATURED,9000-71-9,"2649563-94-8, 37279-88-2, 9009-70-5, 9016-20-0, 9049-46-1, 9049-47-2, 9049-48-3, 9050-32-2, 9062-08-2, 9064-58-8, 9064-59-9, 9064-60-2, 9064-61-3, 37279-88-2, 9009-70-5, 9016-20-0, 9049-46-1, 9049-47-2, 9049-48-3, 9050-32-2, 9064-58-8, 9064-59-9, 9064-60-2, 9064-61-3",COMPOUND,MISSING,YES,YES,,
456,CASPOFUNGIN,CASPOFUNGIN,https://pubchem.ncbi.nlm.nih.gov/compound/16119814,FEATURED,162808-62-0,No CAS info,COMPOUND,YES,YES,YES,,
457,CASTOR_FIBER,CASTOR FIBER,https://pubchem.ncbi.nlm.nih.gov/substance/482037988,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
458,CATHETERS,CATHETERS,https://pubchem.ncbi.nlm.nih.gov/bioassay/546731,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
459,CATRIDECACOG,CATRIDECACOG,https://pubchem.ncbi.nlm.nih.gov/compound/Catridecacog,FEATURED,606138-08-3,No CAS info,COMPOUND,MISSING,YES,YES,,
460,CEDAR_WOOD_OIL,CEDAR WOOD OIL,https://pubchem.ncbi.nlm.nih.gov/substance/482028917,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
461,CEDRUS_ATLANTICA,CEDRUS ATLANTICA,https://pubchem.ncbi.nlm.nih.gov/compound/Cedrus%20atlantica%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES,,
462,CEFACLOR,CEFACLOR,https://pubchem.ncbi.nlm.nih.gov/compound/51039,FEATURED,"53994-73-3, 70356-03-5",No CAS info,COMPOUND,YES,YES,YES,,
463,CEFADROXIL,CEFADROXIL,https://pubchem.ncbi.nlm.nih.gov/compound/47965,FEATURED,"50370-12-2, 66592-87-8",No CAS info,COMPOUND,YES,YES,YES,,
464,CEFALEXIN,CEFALEXIN,https://pubchem.ncbi.nlm.nih.gov/compound/27447,FEATURED,15686-71-2,"14101-75-8, 17692-47-6, 65454-17-3, 82853-18-7",COMPOUND,YES,YES,YES,,
465,CEFAMANDOLE,CEFAMANDOLE,https://pubchem.ncbi.nlm.nih.gov/compound/456255,FEATURED,"34444-01-4, 30034-03-8",No CAS info,COMPOUND,YES,YES,YES,,
466,CEFAPIRIN,CEFAPIRIN,https://pubchem.ncbi.nlm.nih.gov/compound/30699,FEATURED,"21593-23-7, 24356-60-3",No CAS info,COMPOUND,YES,YES,YES,,
467,CEFAZOLIN,CEFAZOLIN,https://pubchem.ncbi.nlm.nih.gov/compound/33255,FEATURED,25953-19-9,No CAS info,COMPOUND,YES,YES,YES,,
468,CEFDINIR,CEFDINIR,https://pubchem.ncbi.nlm.nih.gov/compound/6915944,FEATURED,91832-40-5,No CAS info,COMPOUND,YES,YES,YES,,
469,CEFDITOREN_PIVOXIL,CEFDITOREN PIVOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/6437877,FEATURED,117467-28-4,No CAS info,COMPOUND,YES,YES,YES,,
470,CEFEPIME,CEFEPIME,https://pubchem.ncbi.nlm.nih.gov/compound/5479537,FEATURED,"88040-23-7, 149261-27-8",107648-84-0,COMPOUND,YES,YES,YES,,
471,CEFIXIME,CEFIXIME,https://pubchem.ncbi.nlm.nih.gov/compound/5362065,FEATURED,79350-37-1,214265-67-5,COMPOUND,YES,YES,YES,,
472,CEFMETAZOLE,CEFMETAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/42008,FEATURED,56796-20-4,No CAS info,COMPOUND,YES,YES,YES,,
